2012-02-13T01:45:06.840+0000: 51661.893: [GC [PSYoungGen: 27922K->840K(31936K)] 51123K->24343K(72896K), 0.0050140 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-13T02:40:01.619+0000: 54956.672: [GC [PSYoungGen: 28680K->728K(31744K)] 52183K->24239K(72704K), 0.0040660 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-13T03:50:00.424+0000: 59155.478: [GC [PSYoungGen: 28568K->952K(32256K)] 52079K->24475K(73216K), 0.0048980 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-13T04:50:01.330+0000: 62756.384: [GC [PSYoungGen: 29432K->944K(32064K)] 52955K->24491K(73024K), 0.0080270 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T06:10:00.386+0000: 67555.439: [GC [PSYoungGen: 29424K->888K(32640K)] 52971K->24475K(73600K), 0.0042950 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T07:09:47.334+0000: 71142.387: [GC [PSYoungGen: 30130K->584K(32448K)] 53718K->24459K(73408K), 0.0049880 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2012-02-13T07:58:42.318+0000: 74077.372: [GC [PSYoungGen: 29832K->737K(32896K)] 53707K->24917K(73856K), 0.0056640 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-13T08:10:00.418+0000: 74755.471: [GC [PSYoungGen: 30529K->712K(32768K)] 54709K->25199K(73728K), 0.0057540 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-13T08:22:21.029+0000: 75496.083: [GC [PSYoungGen: 30536K->448K(33088K)] 55023K->25571K(74048K), 0.0061960 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
2012-02-13T08:34:25.303+0000: 76220.357: [GC [PSYoungGen: 30720K->304K(33024K)] 55843K->25817K(73984K), 0.0048320 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-13T08:49:30.518+0000: 77125.571: [GC [PSYoungGen: 30576K->328K(33216K)] 56089K->26101K(74176K), 0.0041370 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
2012-02-13T09:02:34.960+0000: 77910.013: [GC [PSYoungGen: 30856K->576K(33152K)] 56629K->26353K(74112K), 0.0041430 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-13T09:15:11.156+0000: 78666.209: [GC [PSYoungGen: 31104K->288K(33472K)] 56881K->26357K(74432K), 0.0040450 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-13T09:30:00.374+0000: 79555.428: [GC [PSYoungGen: 31264K->600K(33344K)] 57333K->26678K(74304K), 0.0040370 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-13T09:43:20.789+0000: 80355.842: [GC [PSYoungGen: 31575K->320K(33664K)] 57653K->26657K(74624K), 0.0042250 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-13T09:56:25.163+0000: 81140.216: [GC [PSYoungGen: 31744K->296K(33600K)] 58081K->26921K(74560K), 0.0046160 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T10:10:00.487+0000: 81955.541: [GC [PSYoungGen: 31711K->752K(33856K)] 58337K->27394K(74816K), 0.0044470 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-13T10:25:35.010+0000: 82890.064: [GC [PSYoungGen: 32496K->320K(33728K)] 59138K->27217K(74688K), 0.0041860 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-13T10:38:39.536+0000: 83674.590: [GC [PSYoungGen: 32064K->296K(33984K)] 58961K->27478K(74944K), 0.0042030 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T10:52:08.792+0000: 84483.845: [GC [PSYoungGen: 32360K->560K(33920K)] 59542K->27749K(74880K), 0.0039220 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-13T11:02:38.445+0000: 85113.499: [GC [PSYoungGen: 32624K->453K(34176K)] 59813K->27899K(75136K), 0.0044660 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T11:15:53.745+0000: 85908.798: [GC [PSYoungGen: 32901K->296K(34112K)] 60347K->28049K(75072K), 0.0041030 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-13T11:30:00.532+0000: 86755.585: [GC [PSYoungGen: 32744K->600K(34304K)] 60497K->28361K(75264K), 0.0041160 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-13T11:46:03.833+0000: 87718.886: [GC [PSYoungGen: 33304K->336K(34240K)] 61065K->28353K(75200K), 0.0042350 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-13T12:00:00.904+0000: 88555.957: [GC [PSYoungGen: 33040K->552K(34432K)] 61057K->28577K(75392K), 0.0037170 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-13T12:13:42.112+0000: 89377.165: [GC [PSYoungGen: 33512K->352K(34368K)] 61537K->28605K(75328K), 0.0040240 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-02-13T12:29:48.994+0000: 90344.047: [GC [PSYoungGen: 33312K->328K(34560K)] 61565K->28905K(75520K), 0.0044690 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-13T12:42:54.642+0000: 91129.696: [GC [PSYoungGen: 33544K->584K(34496K)] 62121K->29445K(75456K), 0.0051840 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-13T12:57:00.586+0000: 91975.640: [GC [PSYoungGen: 33800K->312K(34624K)] 62661K->29477K(75584K), 0.0045880 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-02-13T13:11:06.707+0000: 92821.760: [GC [PSYoungGen: 33720K->576K(34624K)] 62885K->29769K(75584K), 0.0044460 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-02-13T13:28:13.981+0000: 93849.034: [GC [PSYoungGen: 33984K->328K(34688K)] 63177K->29777K(75648K), 0.0044590 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-13T13:41:19.861+0000: 94634.915: [GC [PSYoungGen: 33864K->552K(34688K)] 63313K->30009K(75648K), 0.0037700 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-02-13T13:52:24.807+0000: 95299.860: [GC [PSYoungGen: 34084K->296K(34752K)] 63541K->30037K(75712K), 0.0048770 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
