2012-01-23T03:12:20.054+0000: 32407.580: [Full GC (System) [PSYoungGen: 24656K->0K(46080K)] [ParOldGen: 15253K->15262K(16192K)] 39909K->15262K(62272K) [PSPermGen: 40583K->40583K(55424K)], 0.2810410 secs] [Times: user=0.32 sys=0.00, real=0.28 secs] 
2012-01-23T04:12:20.337+0000: 36007.862: [Full GC (System) [PSYoungGen: 23965K->0K(46080K)] [ParOldGen: 15262K->15228K(16192K)] 39228K->15228K(62272K) [PSPermGen: 40583K->40547K(53376K)], 0.2702540 secs] [Times: user=0.32 sys=0.00, real=0.27 secs] 
2012-01-23T05:12:20.608+0000: 39608.133: [Full GC (System) [PSYoungGen: 24146K->0K(46080K)] [ParOldGen: 15228K->15229K(16192K)] 39374K->15229K(62272K) [PSPermGen: 40548K->40548K(51840K)], 0.2712630 secs] [Times: user=0.33 sys=0.00, real=0.27 secs] 
2012-01-23T06:12:20.881+0000: 43208.406: [Full GC (System) [PSYoungGen: 26140K->0K(46080K)] [ParOldGen: 15229K->15273K(16192K)] 41370K->15273K(62272K) [PSPermGen: 40550K->40550K(50304K)], 0.2795530 secs] [Times: user=0.34 sys=0.00, real=0.28 secs] 
2012-01-23T07:12:21.161+0000: 46808.687: [Full GC (System) [PSYoungGen: 24809K->0K(46080K)] [ParOldGen: 15273K->15254K(16192K)] 40082K->15254K(62272K) [PSPermGen: 40550K->40550K(49024K)], 0.2565200 secs] [Times: user=0.32 sys=0.00, real=0.26 secs] 
2012-01-23T07:43:09.467+0000: 48656.992: [Full GC [PSYoungGen: 40832K->0K(46080K)] [ParOldGen: 15254K->15585K(27776K)] 56086K->15585K(73856K) [PSPermGen: 40593K->40593K(47744K)], 0.2609720 secs] [Times: user=0.31 sys=0.00, real=0.27 secs] 
2012-01-23T07:56:18.834+0000: 49446.360: [GC [PSYoungGen: 40832K->384K(45952K)] 56417K->15969K(73728K), 0.0042320 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-01-23T08:10:29.163+0000: 50296.688: [GC [PSYoungGen: 41216K->667K(45952K)] 56801K->16252K(73728K), 0.0041960 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-01-23T08:24:25.186+0000: 51132.711: [GC [PSYoungGen: 41627K->1033K(45952K)] 57212K->16618K(73728K), 0.0044170 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-01-23T08:39:36.218+0000: 52043.744: [GC [PSYoungGen: 41991K->912K(46016K)] 57576K->16497K(73792K), 0.0044170 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-01-23T08:43:09.728+0000: 52257.254: [GC [PSYoungGen: 10836K->912K(42368K)] 26421K->16497K(70144K), 0.0039760 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-01-23T08:43:09.732+0000: 52257.258: [Full GC (System) [PSYoungGen: 912K->0K(42368K)] [ParOldGen: 15585K->15287K(27776K)] 16497K->15287K(70144K) [PSPermGen: 40630K->40534K(46720K)], 0.2608720 secs] [Times: user=0.31 sys=0.00, real=0.26 secs] 
2012-01-23T08:56:48.654+0000: 53076.180: [GC [PSYoungGen: 41408K->472K(46016K)] 56695K->15759K(73792K), 0.0033860 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-01-23T09:11:59.114+0000: 53986.639: [GC [PSYoungGen: 42008K->632K(45888K)] 57295K->15919K(73664K), 0.0038040 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-01-23T09:27:40.090+0000: 54927.616: [GC [PSYoungGen: 42168K->947K(45760K)] 57455K->16234K(73536K), 0.0045330 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-01-23T09:41:23.998+0000: 55751.524: [GC [PSYoungGen: 43059K->1027K(46144K)] 58346K->16315K(73920K), 0.0048290 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-01-23T09:43:09.994+0000: 55857.519: [GC [PSYoungGen: 4354K->928K(46080K)] 19641K->16215K(73856K), 0.0041470 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-01-23T09:43:09.998+0000: 55857.523: [Full GC (System) [PSYoungGen: 928K->0K(46080K)] [ParOldGen: 15287K->15299K(27776K)] 16215K->15299K(73856K) [PSPermGen: 40570K->40535K(45696K)], 0.2847070 secs] [Times: user=0.33 sys=0.00, real=0.28 secs] 
2012-01-23T09:58:36.827+0000: 56784.352: [GC [PSYoungGen: 42560K->456K(46208K)] 57859K->15756K(73984K), 0.0030350 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-01-23T10:39:03.815+0000: 59211.340: [GC [PSYoungGen: 43016K->1156K(45824K)] 58316K->16456K(73600K), 0.0057620 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-01-23T10:43:10.283+0000: 59457.809: [GC [PSYoungGen: 10181K->864K(43712K)] 25481K->16164K(71488K), 0.0043050 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-01-23T10:43:10.288+0000: 59457.813: [Full GC (System) [PSYoungGen: 864K->0K(43712K)] [ParOldGen: 15299K->15375K(27776K)] 16164K->15375K(71488K) [PSPermGen: 40622K->40555K(44928K)], 0.2645760 secs] [Times: user=0.30 sys=0.00, real=0.26 secs] 
2012-01-23T10:58:31.456+0000: 60378.981: [GC [PSYoungGen: 42816K->448K(46016K)] 58191K->15823K(73792K), 0.0033500 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-01-23T11:10:42.024+0000: 61109.550: [GC [PSYoungGen: 43328K->704K(45952K)] 58703K->16079K(73728K), 0.0042840 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-01-23T11:25:54.133+0000: 62021.658: [GC [PSYoungGen: 43584K->960K(45504K)] 58959K->16335K(73280K), 0.0048500 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2012-01-23T11:40:06.916+0000: 62874.442: [GC [PSYoungGen: 43968K->976K(44032K)] 59343K->16351K(71808K), 0.0047870 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-01-23T11:43:10.553+0000: 63058.078: [GC [PSYoungGen: 10333K->960K(45312K)] 25708K->16335K(73088K), 0.0041180 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-01-23T11:43:10.557+0000: 63058.083: [Full GC (System) [PSYoungGen: 960K->0K(45312K)] [ParOldGen: 15375K->15354K(27776K)] 16335K->15354K(73088K) [PSPermGen: 40642K->40558K(44416K)], 0.2614180 secs] [Times: user=0.29 sys=0.00, real=0.27 secs] 
2012-01-23T11:59:24.033+0000: 64031.558: [GC [PSYoungGen: 43072K->440K(45504K)] 58426K->15794K(73280K), 0.0030080 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-01-23T12:13:35.386+0000: 64882.911: [GC [PSYoungGen: 43512K->720K(45312K)] 58866K->16074K(73088K), 0.0042370 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-01-23T12:30:00.351+0000: 65867.876: [GC [PSYoungGen: 43850K->1088K(45440K)] 59204K->16442K(73216K), 0.0051540 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-01-23T12:43:10.819+0000: 66658.345: [GC [PSYoungGen: 40855K->1111K(45312K)] 56209K->16465K(73088K), 0.0052450 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2012-01-23T12:43:10.825+0000: 66658.350: [Full GC (System) [PSYoungGen: 1111K->0K(45312K)] [ParOldGen: 15354K->15416K(27776K)] 16465K->15416K(73088K) [PSPermGen: 40708K->40590K(43904K)], 0.2720360 secs] [Times: user=0.30 sys=0.00, real=0.27 secs] 
2012-01-23T12:50:48.656+0000: 67116.182: [GC [PSYoungGen: 43200K->512K(45376K)] 58616K->15928K(73152K), 0.0034450 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2012-01-23T13:08:02.673+0000: 68150.199: [GC [PSYoungGen: 43712K->640K(45248K)] 59128K->16056K(73024K), 0.0040160 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
